domain,Organization,email_pattern
caiac.li,CAIAC Fund Management AG,{firstinitial}.{lastname}@{domain}
ccfa.fr,CCFA,{firstinitial}.{lastname}@{domain}
cctl.co.uk,Capital Cranfield Trustees,{firstinitial}.{lastname}@{domain}
ceja.eu,CEJA - European Council of Young farmers ,{firstinitial}.{lastname}@{domain}
celcaa.eu,"CELCAA - European Liaison Committee for Agricultural and Agri-Food Trade
",{firstinitial}.{lastname}@{domain}
cembureau.eu,CEMBUREAU - European Cement Association,{firstinitial}.{lastname}@{domain}
cembureau.eu ,CEMBUREAU,{firstinitial}.{lastname}@{domain}
cepe.org,CEPE - ,{firstinitial}.{lastname}@{domain}
cepi.org,CEPI - Confederation of European Paper Industries,{firstinitial}.{lastname}@{domain}
cepi.org ,STEPS MANAGEMENT SPRL,{firstinitial}.{lastname}@{domain}
cevi-eciw.eu,CEVI - European Confederation of Independent Winegrowers,{firstinitial}.{lastname}@{domain}
cibp.eu ,CIBP - Confederation Internationale des Banques Populaires,{firstinitial}.{lastname}@{domain}
cieh.org,the Chartered Institute of Environmental Health,{firstinitial}.{lastname}@{domain}
cimoney.com.ky,CIMA - Cayman Islands Monetary Authority,{firstinitial}.{lastname}@{domain}
clepa.be,CLEPA - European Association of Automotive Suppliers,{firstinitial}.{lastname}@{domain}
cliniclownsinternational.nl,EFHCO - European Federation of Hospital Clown Organisations,{firstinitial}.{lastname}@{domain}
cluster-montagne.com,Cluster montagne,{firstinitial}.{lastname}@{domain}
cmc.gov.gr,Hellenic Capital Market Commission,{firstinitial}.{lastname}@{domain}
cnue.be,Council of the Notariats of the EU,{firstinitial}.{lastname}@{domain}
confartigianatovicenza.it,Confartigianato Vicenza,{firstinitial}.{lastname}@{domain}
confidon.nl,Confidon,{firstinitial}.{lastname}@{domain}
confindustria.eu,Confindustria Delegation to the EU,{firstinitial}.{lastname}@{domain}
consob.it,CONSOB - Commissione Nazionale per le Società e la Borsa,{firstinitial}.{lastname}@{domain}
coopseurope.coop,Cooperatives Europe,{firstinitial}.{lastname}@{domain}
credendogroup.com,Delcredere | Ducroire,{firstinitial}.{lastname}@{domain}
creditbureaucambodia.com,Credit Bureau Cambodia,{firstinitial}.{lastname}@{domain}
crif.com,Crif,{firstinitial}.{lastname}@{domain}
cs.bham.ac.uk,University of Birmingham,{firstinitial}.{lastname}@{domain}
csamre.eu,Fondation CS MARE,{firstinitial}.{lastname}@{domain}
cssf.lu,CSSF - Commission de Surveillance du Secteur Financier,{firstinitial}.{lastname}@{domain}
deluxfundrecruitment.com,DeLux Fund Recruitment,{firstinitial}.{lastname}@{domain}
democrats.eu,PDE EDP - European Democrats,{firstinitial}.{lastname}@{domain}
dr2consultants.eu,Dr2 Consultants,{firstinitial}.{lastname}@{domain}
e-b-z.de,EBZ Business School - University of Applied Sciences,{firstinitial}.{lastname}@{domain}
e-commercesummit.com,e-Payments Working Committee,{firstinitial}.{lastname}@{domain}
ease-storage.eu,EASE - The European Association for Storage of Energy ,{firstinitial}.{lastname}@{domain}
ebaclearing.eu,BNY Mellon,{firstinitial}.{lastname}@{domain}
ebf-fbe.eu,EBF - European Banking Federation,{firstinitial}.{lastname}@{domain}
ebf-fbe.eu ,EBF - European Banking Federation,{firstinitial}.{lastname}@{domain}
ebf.be,EBF - European Banking Federation ,{firstinitial}.{lastname}@{domain}
ebffbe.onmicrosoft.com,Intesa Sanpaolo,{firstinitial}.{lastname}@{domain}
ecf.com,ECF - European Cyclists' Federation,{firstinitial}.{lastname}@{domain}
ecofys.de,Ecofys Consultancy,{firstinitial}.{lastname}@{domain}
ecsla.eu,ECSLA - European Cold Storage and Logistics Association,{firstinitial}.{lastname}@{domain}
eema.org,EEMA - The European Association for e-Identity & Security,{firstinitial}.{lastname}@{domain}
efet.org,European Federation of Energy Traders,{firstinitial}.{lastname}@{domain}
effpa.eu,EFFPA - European Former Foodstuff Processors Association ,{firstinitial}.{lastname}@{domain}
egan.eu,EGAN  - EGAN - Patients Network for Medical Research and Health,{firstinitial}.{lastname}@{domain}
egec.org,EGEC,{firstinitial}.{lastname}@{domain}
ehaweb.org,European Hematology Association,{firstinitial}.{lastname}@{domain}
ehpm.org,EHPM - European Federation of Associations of Health Products Manufacturers,{firstinitial}.{lastname}@{domain}
eif.org,EIF - European Investment Fund,{firstinitial}.{lastname}@{domain}
eipa.eu,EIPA - European Institute of Public Administration,{firstinitial}.{lastname}@{domain}
electrahotels.gr,Electra Hotels & Resorts,{firstinitial}.{lastname}@{domain}
enbw.com,EnBW,{firstinitial}.{lastname}@{domain}
encatc.org,ENCATC,{firstinitial}.{lastname}@{domain}
enercoutim.eu,Enercoutim,{firstinitial}.{lastname}@{domain}
epc.eu,EPC - European Policy Centre ,{firstinitial}.{lastname}@{domain}
epeeglobal.org,EPEE,{firstinitial}.{lastname}@{domain}
epexspot.com,Epex spot ,{firstinitial}.{lastname}@{domain}
epra.com,EPRA - European Public Real Estate Association,{firstinitial}.{lastname}@{domain}
erasmusmc.nl,University of Rotterdam,{firstinitial}.{lastname}@{domain}
esf.be,ESF - European Services Forum,{firstinitial}.{lastname}@{domain}
esm.europa.eu,ESM - European Stability Mechanism,{firstinitial}.{lastname}@{domain}
eswet.eu,ESWET - European Suppliers of Waste to Energy Technology,{firstinitial}.{lastname}@{domain}
eteurope.eu,ETE - Energy Technologies Europe,{firstinitial}.{lastname}@{domain}
etf-europe.org,ETF - European Transport Workers' Federation,{firstinitial}.{lastname}@{domain}
etsa-europe.org,ETSA - European Textile Services Association ,{firstinitial}.{lastname}@{domain}
eufis.eu,Bank für Sozialwirtschaft,{firstinitial}.{lastname}@{domain}
eurofinas.org,Eurofinas - European Federation of Finance House Associations,{firstinitial}.{lastname}@{domain}
eurogroupforanimals.org,Eurogroup for Animals,{firstinitial}.{lastname}@{domain}
eurogypsum.org,Eurogypsum,{firstinitial}.{lastname}@{domain}
eurohealthnet.eu,EuroHealthNet,{firstinitial}.{lastname}@{domain}
europabio.org,EuropaBio,{firstinitial}.{lastname}@{domain}
europacable.com,Europacable,{firstinitial}.{lastname}@{domain}
europacable.eu,Europacable,{firstinitial}.{lastname}@{domain}
europe.com,Bruxelles Europe asbl,{firstinitial}.{lastname}@{domain}
europeanhistorichouses.eu,EHH - European Historic Houses Association,{firstinitial}.{lastname}@{domain}
europeanshippers.eu,ESC - European Shippers’ Council,{firstinitial}.{lastname}@{domain}
eurotugowners.com,ETA - European Tugowners Association,{firstinitial}.{lastname}@{domain}
febaf.it,Italian Banking Insurance & Financial Federation,{firstinitial}.{lastname}@{domain}
febelfin.be,Febelfin,{firstinitial}.{lastname}@{domain}
fedagrim.be,Fedagrim,{firstinitial}.{lastname}@{domain}
federchimica.eu,FEDERCHIMICA,{firstinitial}.{lastname}@{domain}
federchimica.it,Federchimica-Aispec,{firstinitial}.{lastname}@{domain}
federturismo.it,Federturismo Confindustria,{firstinitial}.{lastname}@{domain}
feebel.be,Eucobat - Eucobat - European Compliance Organizations for Batteries,{firstinitial}.{lastname}@{domain}
feica.eu,Association of European Adhesives and Sealant Manufacturers,{firstinitial}.{lastname}@{domain}
fema-online.eu,Federtion of European Motorcyclists Associations,{firstinitial}.{lastname}@{domain}
ffanet.org,WFA - World Federation Of Advertisers,{firstinitial}.{lastname}@{domain}
fiabrussels.com,FIA - Fédération Internationale de l'Automobile,{firstinitial}.{lastname}@{domain}
fiafoundation.com,FIA - Fédération Internationale de l'Automobile,{firstinitial}.{lastname}@{domain}
fiec.eu,FIEC - The European Construction Industry Federation,{firstinitial}.{lastname}@{domain}
financefortomorrow.com,Finance for Tomorrow,{firstinitial}.{lastname}@{domain}
finepower.com,Finepower,{firstinitial}.{lastname}@{domain}
finmin.lt,"Ministry of Finance, Lithuania",{firstinitial}.{lastname}@{domain}
fnade.com,FNADE - Fédération Nationale des activités de la Dépolution et de l'Environnement,{firstinitial}.{lastname}@{domain}
fooddrinkeurope.eu,FoodDrinkEurope,{firstinitial}.{lastname}@{domain}
form3.com,FORM3,{firstinitial}.{lastname}@{domain}
franceinvest.eu,France Invest,{firstinitial}.{lastname}@{domain}
friendlyscore.com,FriendlyScore,{firstinitial}.{lastname}@{domain}
fs.de,Frankfurt School of Finance & Management,{firstinitial}.{lastname}@{domain}
gdv.de,GDV - General Association of German Insurers,{firstinitial}.{lastname}@{domain}
gdv.org,GDV - German Insurance Association - Institute for Vehicle Safety,{firstinitial}.{lastname}@{domain}
gkkpartners.de,GKK PARTNERS Audit GmbH,{firstinitial}.{lastname}@{domain}
global-counsel.co.uk,Global Counsel,{firstinitial}.{lastname}@{domain}
global-counsel.com,Global Counsel,{firstinitial}.{lastname}@{domain}
global-counsel.eu,Global Counsel Belgium,{firstinitial}.{lastname}@{domain}
gmx.com,Handelsblatt,{firstinitial}.{lastname}@{domain}
greenovate-europe.eu,Greenovate!,{firstinitial}.{lastname}@{domain}
greenwich.ac.uk,University of Greenwich,{firstinitial}.{lastname}@{domain}
halebury.com,Halebury,{firstinitial}.{lastname}@{domain}
hedeos-avocats.fr,Hedeos Law Firm,{firstinitial}.{lastname}@{domain}
helex.gr,ATHEX - Athens Exchange Group,{firstinitial}.{lastname}@{domain}
heuking.de,Heuking Kühn Lüer Wojtek,{firstinitial}.{lastname}@{domain}
hezelburcht.com,Hezelburcht,{firstinitial}.{lastname}@{domain}
hilftelecom.nl,Hilf Telecom BV,{firstinitial}.{lastname}@{domain}
honert.de,Honert & Partners Ltd,{firstinitial}.{lastname}@{domain}
horeca.be,HORECA Vlaanderen,{firstinitial}.{lastname}@{domain}
hotmail.be,Brussels Diplomatic,{firstinitial}.{lastname}@{domain}
houthoff.com,Houthoff Buruma – Lex Mundi member,{firstinitial}.{lastname}@{domain}
iapa.ag,IAPA Deutschland AG / IAPA Deutschland,{firstinitial}.{lastname}@{domain}
ibr-ire.be,IBR-IRE - Belgian Institute of Registered Auditors,{firstinitial}.{lastname}@{domain}
icfsystems.de,ICF Systems AG,{firstinitial}.{lastname}@{domain}
icmacentre.ac.uk,University of Reading (panel 1),{firstinitial}.{lastname}@{domain}
ifc.cnr.it,"CNR-IFC, National Research Council Institute of Clinical Physiology",{firstinitial}.{lastname}@{domain}
ifpma.org,IFPMA,{firstinitial}.{lastname}@{domain}
ifsl.org.uk,IFSL - International Financial Services London,{firstinitial}.{lastname}@{domain}
iicom.org,International Institute of Communications,{firstinitial}.{lastname}@{domain}
ima-europe.eu,IMA-Europe,{firstinitial}.{lastname}@{domain}
indexindustry.org,Index Industry Association,{firstinitial}.{lastname}@{domain}
int.fs.de ,Frankfurt School of Finance & Management,{firstinitial}.{lastname}@{domain}
interportocampano.it,ISC,{firstinitial}.{lastname}@{domain}
iods-data.eu,,{firstinitial}.{lastname}@{domain}
ioer.de,IOER - Leibniz Institute of Ecological Urban and Regional Development,{firstinitial}.{lastname}@{domain}
iosco.org,IOSCO - International Organization of Securities Commissions,{firstinitial}.{lastname}@{domain}
joanes-stiftung.de,Joanes Foundation,{firstinitial}.{lastname}@{domain}
jur.ru.nl,University of Nijmegen,{firstinitial}.{lastname}@{domain}
jur.uni-frankfurt.de,Goethe University,{firstinitial}.{lastname}@{domain}
khn.nl,Koninklijke Horeca Nederland,{firstinitial}.{lastname}@{domain}
kzbs.home.pl,KZBS,{firstinitial}.{lastname}@{domain}
labuvette.com,La Buvette,{firstinitial}.{lastname}@{domain}
laudesfoundation.org,Laudes Foundation,{firstinitial}.{lastname}@{domain}
leaseurope.org,Leaseurope,{firstinitial}.{lastname}@{domain}
leedsbeckett.ac.uk,Leeds Beckett University ,{firstinitial}.{lastname}@{domain}
legacoop.be,Legacoop - Italian Co-operatives Movement (Legacoop),{firstinitial}.{lastname}@{domain}
lfdj.com,La Française des jeux,{firstinitial}.{lastname}@{domain}
liedekerke-law.be,"Liedekerke Wolters Waelbroeck Kirkpatrick, Lawyer",{firstinitial}.{lastname}@{domain}
liedekerke.com,Liedekerke Wolters Waelbroeck Kirkpatrick,{firstinitial}.{lastname}@{domain}
lis-aifm.com,LIS AIFM,{firstinitial}.{lastname}@{domain}
lse.ac.uk,London School of Economics & Political Science,{firstinitial}.{lastname}@{domain}
lse.ac.uk  ,LSE - London School of Economics & Political Science,{firstinitial}.{lastname}@{domain}
lvmh.fr,LVMH Moët Hennessy Louis Vuitton,{firstinitial}.{lastname}@{domain}
maastrichtuniversity.nl,"Maastricht University, MARC (Maastricht Accounting, Auditing & Information Management Research Center)",{firstinitial}.{lastname}@{domain}
mail.be ,PROA - Pro-Active,{firstinitial}.{lastname}@{domain}
mail.ertico.com,ERTICO,{firstinitial}.{lastname}@{domain}
maldivesembassy.be,Embassy of Maldives to Belgium & Mission to the European Union,{firstinitial}.{lastname}@{domain}
mcbride.co.uk,Mcbride,{firstinitial}.{lastname}@{domain}
mediapioneer.com,ThePioneer,{firstinitial}.{lastname}@{domain}
meridiam.com,Meridiam,{firstinitial}.{lastname}@{domain}
minfin.bg,"Ministry of Finance, Bulgaria",{firstinitial}.{lastname}@{domain}
minfin.nl,NLFI,{firstinitial}.{lastname}@{domain}
mittelstandsverbund.de,ZGV - DER MITTELSTANDSVERBUND (ZGV),{firstinitial}.{lastname}@{domain}
mjassocies.com,MJA SELAFA,{firstinitial}.{lastname}@{domain}
nabarro.com,Nabarro,{firstinitial}.{lastname}@{domain}
napier.ac.uk,Edinburgh Napier University,{firstinitial}.{lastname}@{domain}
nctm.it,NCTM,{firstinitial}.{lastname}@{domain}
net4gas.cz,NET4GAS,{firstinitial}.{lastname}@{domain}
ng4.nl,Cities Northern Netherlands,{firstinitial}.{lastname}@{domain}
nidv.eu,Dutch Industry for Defense & Security,{firstinitial}.{lastname}@{domain}
nrc.nl,NRC,{firstinitial}.{lastname}@{domain}
ntlworld.com,EurAgEng,{firstinitial}.{lastname}@{domain}
numis.com,Numis Securities,{firstinitial}.{lastname}@{domain}
oesterreichsenergie.at,Österreichs Energie - Association of Austrian Electricity Companies,{firstinitial}.{lastname}@{domain}
oostwerf.nl,Oostwerf Recruitment,{firstinitial}.{lastname}@{domain}
ots.co.uk,OTS - Office Of Tax Simplification,{firstinitial}.{lastname}@{domain}
piraeusbankgroup.com,Piraeus Bank,{firstinitial}.{lastname}@{domain}
portofrotterdam.com,Port of Rotterdam,{firstinitial}.{lastname}@{domain}
preta.eu,PRETA SAS,{firstinitial}.{lastname}@{domain}
primetel.com.cy,primetel,{firstinitial}.{lastname}@{domain}
profee.com,Sibilla Solutions,{firstinitial}.{lastname}@{domain}
provinciegroningen.nl,Provincie Groningen,{firstinitial}.{lastname}@{domain}
qmul.ac.uk,Queen Mary University of London,{firstinitial}.{lastname}@{domain}
rae-streitberger.de,ESFAM - Association of European Manufacturers of Sporting Firearms ,{firstinitial}.{lastname}@{domain}
reply.com,,{firstinitial}.{lastname}@{domain}
responsiblefinance.org.uk,Responsible Finance,{firstinitial}.{lastname}@{domain}
riverstonerel.com,Riverstone Energy Ltd,{firstinitial}.{lastname}@{domain}
rn.rabobank.nl,Rabobank,{firstinitial}.{lastname}@{domain}
rotterdam.nl,City of Rotterdam,{firstinitial}.{lastname}@{domain}
royalihc.com,IHC - Royal IHC,{firstinitial}.{lastname}@{domain}
rp.greece.be,Permanent Representation of Greece to the EU,{firstinitial}.{lastname}@{domain}
rpp-group.com,RPP - Rohde Public Policy,{firstinitial}.{lastname}@{domain}
rsm-belgium.be,RSM Belgium,{firstinitial}.{lastname}@{domain}
rupprecht-consult.eu,Rupprecht Consult GmbH,{firstinitial}.{lastname}@{domain}
ruralelec.org,OGP-International Association of Oil and Gas Producers,{firstinitial}.{lastname}@{domain}
rymayadi.com,EBA - European Banking Authority,{firstinitial}.{lastname}@{domain}
sbs-sme.eu,"SMS- SME - Small Business Standards aisbl
",{firstinitial}.{lastname}@{domain}
scarabaeus.li,Scarabaeus Wealth Management AG,{firstinitial}.{lastname}@{domain}
scwp.com,SCWP Schindhelm,{firstinitial}.{lastname}@{domain}
sea-authors.eu,SAA - Society of Audiovisual Authors,{firstinitial}.{lastname}@{domain}
selmer.no,Selmer,{firstinitial}.{lastname}@{domain}
sigaar.nl,European Cigar Manufacturers Association (ECMA),{firstinitial}.{lastname}@{domain}
specialisednutritioneurope.eu,Specialized Nutrition Europe ,{firstinitial}.{lastname}@{domain}
spms.nl,SPMS - Stichting Pensioenfonds Medisch Specialisten,{firstinitial}.{lastname}@{domain}
srp-greece.be,Permanent Representation of Greece to the EU,{firstinitial}.{lastname}@{domain}
stadtwerkekoeln.de,Stadtwerke Köln GmbH,{firstinitial}.{lastname}@{domain}
staff.prace-ri.eu,PRACE - ,{firstinitial}.{lastname}@{domain}
tandem-travel.com,Tandem travel,{firstinitial}.{lastname}@{domain}
taylorwessing.com,Taylor Wessing,{firstinitial}.{lastname}@{domain}
telekom.de,Deutsche Telekom,{firstinitial}.{lastname}@{domain}
tga.org.uk,The Glasgow Academy,{firstinitial}.{lastname}@{domain}
thetakeoverpanel.org.uk,The Takeover Panel,{firstinitial}.{lastname}@{domain}
third-i.eu,Third-i bvba,{firstinitial}.{lastname}@{domain}
tudelf.nl,TU Delft,{firstinitial}.{lastname}@{domain}
tweedekamer.nl,Tweede Kamer,{firstinitial}.{lastname}@{domain}
uaeembassy.be,Embassy of the United Arab Emirates,{firstinitial}.{lastname}@{domain}
ueapme.com,"UEAPME - European Association of Craft, Small and Medium-sized Enterprises",{firstinitial}.{lastname}@{domain}
ueg.eu,UEG,{firstinitial}.{lastname}@{domain}
uggc.com,UGCC & Associés,{firstinitial}.{lastname}@{domain}
uke.gov.pl,UKE - Office of Electronic Communications,{firstinitial}.{lastname}@{domain}
unionlido.com,Union Lido Vacanze ,{firstinitial}.{lastname}@{domain}
univercells.com,Univercells,{firstinitial}.{lastname}@{domain}
unlimint.com,Unlimint EU ,{firstinitial}.{lastname}@{domain}
unrwa.org,UNRWA - The United Nations Relief and Works Agency for Palestine Refugees in the Near East,{firstinitial}.{lastname}@{domain}
utrecht.nl,City of Utrecht,{firstinitial}.{lastname}@{domain}
vertex-solutions.co.uk,Vertex Solutions International Ltd,{firstinitial}.{lastname}@{domain}
vlk-agrar.de,EUFRAS - European Forum for Agricultural and Rural Advisory Services,{firstinitial}.{lastname}@{domain}
volvocars.com,Volvo Cars,{firstinitial}.{lastname}@{domain}
votum.eu,Votum AG,{firstinitial}.{lastname}@{domain}
vu.nl,Vrije Universiteit Amsterdam,{firstinitial}.{lastname}@{domain}
westminster.ac.uk,University of Westminster,{firstinitial}.{lastname}@{domain}
wfanet.org,WFA - World Federation Of Advertisers,{firstinitial}.{lastname}@{domain}
whiterose.ac.uk,WRUC - White Rose University Consortium ,{firstinitial}.{lastname}@{domain}
wintoncapital.com,Winton Capital Management,{firstinitial}.{lastname}@{domain}
wipro.com,Wipro limited ,{firstinitial}.{lastname}@{domain}
wirtschaftsrat.de,,{firstinitial}.{lastname}@{domain}
wirtschaftsrat.de ,Wirtschaftsrat,{firstinitial}.{lastname}@{domain}
worldbenchmarkingalliance.org,World Benchmarking Alliance,{firstinitial}.{lastname}@{domain}
zgv-online.de,Servicon,{firstinitial}.{lastname}@{domain}
aac-eu.org,Federation of European Specialty Food Ingredients Industries,{firstinitial}.{lastname}@{domain}
accis.eu,ACCIS - Association for Consumer Credit Information Suppliers,{firstinitial}.{lastname}@{domain}
asecap.com,"European Association of Tolled Motorways, Bridges and Tunnels",{firstinitial}.{lastname}@{domain}
asufin.com,ASUFIN - Asociación Usuarios Financieros,{firstinitial}.{lastname}@{domain}
avv.rws.minvvvenw.nl,RWS,{firstinitial}.{lastname}@{domain}
bauernverband.net,DBV - Deutscher Bauernverband,{firstinitial}.{lastname}@{domain}
bbk.ac.uk,"Birkbeck, University of London",{firstinitial}.{lastname}@{domain}
belastingdienst.nl,AMLC - Anti Money Laundering,{firstinitial}.{lastname}@{domain}
bham.ac.uk,University of Birmingham,{firstinitial}.{lastname}@{domain}
borvo.com,EHTTA - European Historic Thermal Towns Association,{firstinitial}.{lastname}@{domain}
buschmann-steuerberater.de,Buschmann & Buschmann,{firstinitial}.{lastname}@{domain}
businessangelseurope.com,Business Angels Europe,{firstinitial}.{lastname}@{domain}
businesseurope.eu,IBM,{firstinitial}.{lastname}@{domain}
cia.it,CIA - Confederazione Italiana Agricoltori ,{firstinitial}.{lastname}@{domain}
c-gaia.gr,Gaia Epicheirein,{firstinitial}_{lastname}@{domain}
eu.mhps.com,Mitsubishi Hitachi Power Systems Europe GmbH,{firstinitial}_{lastname}@{domain}
163.com,Université de Nantes,{firstinitial}_{lastname}@{domain}
42one.com,42com Telecommunication GmbH,{firstinitial}{lastinitial}@{domain}
acea.be,ACEA - Association des Constructeurs Européens d'Automobiles,{firstinitial}{lastinitial}@{domain}
advisory-petra-hansen.com,PowerUP,{firstinitial}{lastinitial}@{domain}
associationhubs.org,Global Association Hubs,{firstinitial}{lastinitial}@{domain}
avec-poultry.eu,AVEC,{firstinitial}{lastinitial}@{domain}
balticexchange.com,The Baltic Exchange,{firstinitial}{lastinitial}@{domain}
beci.be,BECI - Brussels Enterprises Commerce and Industry ,{firstinitial}{lastinitial}@{domain}
beon.net,Beon Consult,{firstinitial}{lastinitial}@{domain}
bibm.eu,BIBM - European Federation for Precast Concrete,{firstinitial}{lastinitial}@{domain}
bokis.dk,Bokis,{firstinitial}{lastinitial}@{domain}
castinellc.com,Castine,{firstinitial}{lastinitial}@{domain}
centraldenmark.eu,Central Denmark EU Office,{firstinitial}{lastinitial}@{domain}
cesa.eu,CESA - Community of European Shipyards Associations,{firstinitial}{lastinitial}@{domain}
chelgate.com,Chelgate Public Relation,{firstinitial}{lastinitial}@{domain}
csreurope.org,"CSR - The European Business Network
for Corporate Social Responsibility
",{firstinitial}{lastinitial}@{domain}
ddconsult.eu,DD Consulting - DD Consulting Services,{firstinitial}{lastinitial}@{domain}
digitrust.eu,Digital Enlightenment Forum,{firstinitial}{lastinitial}@{domain}
dufas.nl,DUFAS - Dutch Fund and Asset Management Association,{firstinitial}{lastinitial}@{domain}
eaepc.org,EAEPC - European Association of Euro-Pharmaceutical Companies,{firstinitial}{lastinitial}@{domain}
ebsummit.eu,European Business Summit Network,{firstinitial}{lastinitial}@{domain}
ecdpm.org,ECDPM - ,{firstinitial}{lastinitial}@{domain}
epp.eu,EPP - ,{firstinitial}{lastinitial}@{domain}
etn-gasturbine.eu,ETN - European Turbine Network,{firstinitial}{lastinitial}@{domain}
etn.global,"ETN - European Turbine Network
",{firstinitial}{lastinitial}@{domain}
eu-ssa.org,ESSA,{firstinitial}{lastinitial}@{domain}
eucar.be,EUCAR,{firstinitial}{lastinitial}@{domain}
eupportunity.eu,Eupportunity,{firstinitial}{lastinitial}@{domain}
eurocockpit.be,ECA - European Cockpit Association,{firstinitial}{lastinitial}@{domain}
euroheat.org,Euroheat & Power,{firstinitial}{lastinitial}@{domain}
euronetconsulting.com,Euronet Consulting,{firstinitial}{lastinitial}@{domain}
forestonline.eu,Forest,{firstinitial}{lastinitial}@{domain}
formuepleje.dk,Formuepleje,{firstinitial}{lastinitial}@{domain}
gassco.no,Gassco AS,{firstinitial}{lastinitial}@{domain}
heralduk.com,Herald Investment Management Limited,{firstinitial}{lastinitial}@{domain}
huddlestock.com,Huddlestock,{firstinitial}{lastinitial}@{domain}
i-b-s.be,Confederation of European Security Services,{firstinitial}{lastinitial}@{domain}
indeed.be,INDEED SPRL,{firstinitial}{lastinitial}@{domain}
industriouslaw.com,Industrious Law Firm,{firstinitial}{lastinitial}@{domain}
iogp.org,International Association of Oil & Gas Producers,{firstinitial}{lastinitial}@{domain}
iteco.bg,Iteco Ltd,{firstinitial}{lastinitial}@{domain}
kingstonsmtih.co.uk,Kingston Smith,{firstinitial}{lastinitial}@{domain}
kpb.no,Kunnskapsparken Bodø AS,{firstinitial}{lastinitial}@{domain}
ldmh.be,LDMH,{firstinitial}{lastinitial}@{domain}
lgavocats.lu,LG Avocats,{firstinitial}{lastinitial}@{domain}
martenscentre.eu,Wilfried Martens Centre for European Studies,{firstinitial}{lastinitial}@{domain}
